,Specs,Infos
0,TYPE,"Benelli TNT 15 is powered by a 148cc, single-cylinder, 4-stroke, 2-valve, air-cooled petrol engine mated to a 5-speed gearbox."
1,DISPLACEMENT,148 cc
2,BORE x STROKE,57.0 mm x 58.0 mm
3,COMPRESSION RATIO,9.2:1
4,RATED OUTPUT,12.7 BHP @ 8000 rpm
5,MAX. TORQUE,12.8 NM @ 6000 rpm
6,LUBRICATION,Wet sump
7,FUEL SUPPLY,Carburetor
8,EXHAUST SYSTEM,N/A
9,CERTIFICATION,N/A
10,CLUTCH,Wet Multiplate
11,GEARBOX,5-speed
12,FINAL DRIVE,Chain
13,Ignition,N/A
14,Spark plug,N/A
15,Starting,N/A
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,N/A
19,CO2 EMISSIONS,N/A
20,TYPE,"Benelli TNT 15 is powered by a 148cc, single-cylinder, 4-stroke, 2-valve, air-cooled petrol engine mated to a 5-speed gearbox."
21,DISPLACEMENT,148 cc
22,BORE x STROKE,57.0 mm x 58.0 mm
23,COMPRESSION RATIO,9.2:1
24,RATED OUTPUT,12.7 BHP @ 8000 rpm
25,MAX. TORQUE,12.8 NM @ 6000 rpm
26,LUBRICATION,Wet sump
27,FUEL SUPPLY,Carburetor
28,EXHAUST SYSTEM,N/A
29,CERTIFICATION,N/A
30,CLUTCH,Wet Multiplate
31,GEARBOX,5-speed
32,FINAL DRIVE,Chain
33,Ignition,N/A
34,Spark plug,N/A
35,Starting,N/A
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,N/A
39,CO2 EMISSIONS,N/A
40,FRAME,"Monocilíndrico, 4 tiempos, refrigerado por líquido, 2 válvulas por cilindro"
41,FRONT SUSPENSION,Telescopic
42,FRONT SUSPENSION STROKE,110 mm
43,REAR SUSPENSION,Steel swingarm with angle-mount shock with spring preload adjustability
44,REAR SHOCK ABSORBER STROKE,30mm
45,FRONT BRAKE,Hydraulic Single Disc
46,FRONT RIM TYPE,Aluminum alloy spoke design
47,FRONT RIM DIMENSIONS,"17"""
48,REAR BRAKE,Tambor
49,REAR RIM TYPE,Aluminum alloy spoke design
50,REAR RIM DIMENSIONS,"17"""
51,FRONT TYRE,90/90-17
52,REAR TYRE,120/80-17
53,FRAME,"Monocilíndrico, 4 tiempos, refrigerado por líquido, 2 válvulas por cilindro"
54,FRONT SUSPENSION,Telescopic
55,FRONT SUSPENSION STROKE,110 mm
56,REAR SUSPENSION,Steel swingarm with angle-mount shock with spring preload adjustability
57,REAR SHOCK ABSORBER STROKE,30mm
58,FRONT BRAKE,Hydraulic Single Disc
59,FRONT RIM TYPE,Aluminum alloy spoke design
60,FRONT RIM DIMENSIONS,"17"""
61,REAR BRAKE,Tambor
62,REAR RIM TYPE,Aluminum alloy spoke design
63,REAR RIM DIMENSIONS,"17"""
64,FRONT TYRE,90/90-17
65,REAR TYRE,120/80-17
66,WIDTH EXCLUDING MIRRORS,780 mm
67,GROUND CLEARANCE,185 mm
68,UNLADEN WEIGHT,125 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,16 litres
72,RESERVE,N/A
73,WHEELBASE,1260 mm
