,Specs,Infos
0,TYPE,"4 cylinders in line, 4-stroke, liquid cooled, 16 valves for cylinders, DOHC"
1,DISPLACEMENT,600 c.c.
2,BORE x STROKE,"65 x 45,2 mm"
3,COMPRESSION RATIO,"11,5:1"
4,RATED OUTPUT,60 kW (82 cv) @ 11000 rpm
5,MAX. TORQUE,"52 Nm (5,3 kgm) @ 8000 rpm"
6,LUBRICATION,Pressure splash lubrication
7,FUEL SUPPLY,EFI
8,EXHAUST SYSTEM,N/A
9,CERTIFICATION,Euro 3
10,CLUTCH,Wet multi-plate
11,GEARBOX,6 speeds
12,FINAL DRIVE,Chain
13,Ignition,N/A
14,Spark plug,N/A
15,Starting,N/A
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,N/A
19,CO2 EMISSIONS,N/A
20,TYPE,"4 cylinders in line, 4-stroke, liquid cooled, 16 valves for cylinders, DOHC"
21,DISPLACEMENT,600 c.c.
22,BORE x STROKE,"65 x 45,2 mm"
23,COMPRESSION RATIO,"11,5:1"
24,RATED OUTPUT,60 kW (82 cv) @ 11000 rpm
25,MAX. TORQUE,"52 Nm (5,3 kgm) @ 8000 rpm"
26,LUBRICATION,Pressure splash lubrication
27,FUEL SUPPLY,EFI
28,EXHAUST SYSTEM,N/A
29,CERTIFICATION,Euro 3
30,CLUTCH,Wet multi-plate
31,GEARBOX,6 speeds
32,FINAL DRIVE,Chain
33,Ignition,N/A
34,Spark plug,N/A
35,Starting,N/A
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,N/A
39,CO2 EMISSIONS,N/A
40,FRAME,Bassinet type
41,FRONT SUSPENSION,Telescopic forks
42,FRONT SUSPENSION STROKE,N/A
43,REAR SUSPENSION,Telescopic coil spring oil damped
44,REAR SHOCK ABSORBER STROKE,N/A
45,FRONT BRAKE,Dual discs
46,FRONT RIM TYPE,Aluminium alloy
47,FRONT RIM DIMENSIONS,"E 17"" x 3,50"" DOT-D"
48,REAR BRAKE,Disc
49,REAR RIM TYPE,Aluminium alloy
50,REAR RIM DIMENSIONS,"E 17"" x 5,50"" DOT-D"
51,FRONT TYRE,Metzeler Sportec M5 Interact - 120/70-ZR17 58W
52,REAR TYRE,Metzeler Sportec M5 Interact - 180/55-ZR17 73W
53,FRAME,Bassinet type
54,FRONT SUSPENSION,Telescopic forks
55,FRONT SUSPENSION STROKE,N/A
56,REAR SUSPENSION,Telescopic coil spring oil damped
57,REAR SHOCK ABSORBER STROKE,N/A
58,FRONT BRAKE,Dual discs
59,FRONT RIM TYPE,Aluminium alloy
60,FRONT RIM DIMENSIONS,"E 17"" x 3,50"" DOT-D"
61,REAR BRAKE,Disc
62,REAR RIM TYPE,Aluminium alloy
63,REAR RIM DIMENSIONS,"E 17"" x 5,50"" DOT-D"
64,FRONT TYRE,Metzeler Sportec M5 Interact - 120/70-ZR17 58W
65,REAR TYRE,Metzeler Sportec M5 Interact - 180/55-ZR17 73W
66,WIDTH EXCLUDING MIRRORS,800 mm
67,GROUND CLEARANCE,150 mm
68,UNLADEN WEIGHT,208 kg
69,ROAD READY WEIGHT,220 kg
70,PERMITTED TOTAL WEIGHT,410 kg
71,USABLE TANK VOLUME,15 lt
72,RESERVE,3 lt
73,WHEELBASE,1480 mm
