,Specs,Infos
0,TYPE,"Single cylinder, 4-stroke, liquid cooled , 4 valves for cylinder double overhead camshaft"
1,DISPLACEMENT,249.2 c.c.
2,BORE x STROKE,"72 x 61,2 mm"
3,COMPRESSION RATIO,"11,2:1"
4,RATED OUTPUT,18 kW (24.5cv)@ 9500 rpm
5,MAX. TORQUE,"21 Nm (2,14 kgm) @ 7500 rpm"
6,LUBRICATION,Forced wet sump
7,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
8,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
9,CERTIFICATION,Euro 4
10,CLUTCH,Wet clutch
11,GEARBOX,6 speeds
12,FINAL DRIVE,Chain drive
13,Ignition,DELPHI MT 05
14,Spark plug,NGK CR8E
15,Starting,ELECTRIC
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,"4,1 l/100km"
19,CO2 EMISSIONS,96 g/km
20,TYPE,"Single cylinder, 4-stroke, liquid cooled , 4 valves for cylinder double overhead camshaft"
21,DISPLACEMENT,249.2 c.c.
22,BORE x STROKE,"72 x 61,2 mm"
23,COMPRESSION RATIO,"11,2:1"
24,RATED OUTPUT,18 kW (24.5cv)@ 9500 rpm
25,MAX. TORQUE,"21 Nm (2,14 kgm) @ 7500 rpm"
26,LUBRICATION,Forced wet sump
27,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
28,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
29,CERTIFICATION,Euro 4
30,CLUTCH,Wet clutch
31,GEARBOX,6 speeds
32,FINAL DRIVE,Chain drive
33,Ignition,DELPHI MT 05
34,Spark plug,NGK CR8E
35,Starting,ELECTRIC
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,"4,1 l/100km"
39,CO2 EMISSIONS,96 g/km
40,FRAME,Steel trestle in steel tubes
41,FRONT SUSPENSION,Ø 41 mm upside-down forks
42,FRONT SUSPENSION STROKE,120 mm
43,REAR SUSPENSION,Rear swing arm with central shock absorber
44,REAR SHOCK ABSORBER STROKE,51 mm
45,FRONT BRAKE,Single floating disks ø280 mm with 4 pistons calliper with and ABS
46,FRONT RIM TYPE,Aluminum alloy
47,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT
48,REAR BRAKE,Single disc ø240 mm with floating calliper single piston and ABS
49,REAR RIM TYPE,Aluminum alloy
50,REAR RIM DIMENSIONS,"17” x MT 4,50” DOT"
51,FRONT TYRE,110/70 - ZR17
52,REAR TYRE,150/60 - ZR17
53,FRAME,Steel trestle in steel tubes
54,FRONT SUSPENSION,Ø 41 mm upside-down forks
55,FRONT SUSPENSION STROKE,120 mm
56,REAR SUSPENSION,Rear swing arm with central shock absorber
57,REAR SHOCK ABSORBER STROKE,51 mm
58,FRONT BRAKE,Single floating disks ø280 mm with 4 pistons calliper with and ABS
59,FRONT RIM TYPE,Aluminum alloy
60,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT
61,REAR BRAKE,Single disc ø240 mm with floating calliper single piston and ABS
62,REAR RIM TYPE,Aluminum alloy
63,REAR RIM DIMENSIONS,"17” x MT 4,50” DOT"
64,FRONT TYRE,110/70 - ZR17
65,REAR TYRE,150/60 - ZR17
66,WIDTH EXCLUDING MIRRORS,840 mm
67,GROUND CLEARANCE,200 mm
68,UNLADEN WEIGHT,153 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,17 lt
72,RESERVE,2.0 lt
73,WHEELBASE,1380 mm
